Organism name,RefSeq assembly accession
Pseudomonas aeruginosa ATCC_15692,GCF_001729505.1
Pseudomonas aeruginosa MPAO1/P1,GCF_000247435.1
Pseudomonas aeruginosa MPAO1/P2,GCF_000247455.1
Pseudomonas aeruginosa PAO1 (Reference),GCF_000006765.1
Pseudomonas aeruginosa PAO1 2017-A,GCF_003957105.1
Pseudomonas aeruginosa PAO1 2017-B,GCF_003957185.1
Pseudomonas aeruginosa PAO1 2017-C,GCF_003957175.1
Pseudomonas aeruginosa PAO1 2017-D,GCF_003957205.1
Pseudomonas aeruginosa PAO1 2017-E,GCF_003957075.1
Pseudomonas aeruginosa PAO1 2017-F,GCF_003957095.1
Pseudomonas aeruginosa PAO1 2017-G,GCF_003957085.1
Pseudomonas aeruginosa PAO1 2017-H,GCF_003957115.1
Pseudomonas aeruginosa PAO1 2017-I,GCF_003957195.1
Pseudomonas aeruginosa PAO1 SAMN02469398,GCF_000414275.1
Pseudomonas aeruginosa PAO1_Orsay,GCF_900070375.1
Pseudomonas aeruginosa PAO1161,GCF_004102665.1
Pseudomonas aeruginosa PAO1-CipR,GCF_000414255.1
Pseudomonas aeruginosa PAO1-GFP,GCF_000629345.1
Pseudomonas aeruginosa PAO1-VE13,GCF_000484545.2
Pseudomonas aeruginosa PAO1-VE2,GCF_000484495.2
